ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,borough
10005.0,10005.0,10005,10005.0,10005 Lower Manhattan (Manhattan),18.0,19.0,100.0,36061000700,10005,NEW YORK,NY,0.949802429386799,0.898026315789473,0.951048951048951,0.939282120093928,MN
10006.0,10006.0,10006,10006.0,10006 Lower Manhattan (Manhattan),8.0,8.0,101.0,36061001300,10006,NEW YORK,NY,0.681627620221948,0.607293868921775,0.631229235880398,0.65669014084507,MN
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061002100,10007,NEW YORK,NY,0.373897510327118,0.588260314759676,0.915662650602409,0.439437574114856,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002000,10009,NEW YORK,NY,0.879763821792807,0.9,0.875,0.879790026246719,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002202,10009,NEW YORK,NY,0.988118811881188,0.994652406417112,0.986301369863013,0.988525286867828,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002400,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002601,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002602,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002800,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061003002,10009,NEW YORK,NY,0.914141414141414,0.837837837837837,0.964285714285714,0.914121292607348,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061003200,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061003400,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061004400,10009,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005600,10010,NEW YORK,NY,0.603546738803727,0.767421602787456,0.857707509881422,0.656937394247038,MN
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005800,10010,NEW YORK,NY,0.74756629741524,0.679558011049723,0.603603603603603,0.707070707070707,MN
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006000,10010,NEW YORK,NY,1.0,0.88235294117647,0.929824561403508,0.99778024417314,MN
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006200,10010,NEW YORK,NY,0.833238474672737,0.806451612903225,0.8,0.83064935064935,MN
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006400,10010,NEW YORK,NY,0.825825337453244,0.882697947214076,0.799426934097421,0.827313934785787,MN
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006600,10010,NEW YORK,NY,0.502879581151832,0.542713567839195,0.593023255813953,0.507637785653183,MN
