ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061004000,10003,NEW YORK,NY,1.0,1.0,1.0,1.0
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061004200,10003,NEW YORK,NY,0.688214169115246,0.337711069418386,0.985815602836879,0.649451431629649
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061004800,10003,NEW YORK,NY,0.764591123394569,0.657289002557544,0.995049504950495,0.771955082061618
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061005000,10003,NEW YORK,NY,0.923405119869971,0.883792048929663,0.917910447761194,0.918701906992305
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061005200,10003,NEW YORK,NY,0.796584630838774,0.814641744548286,0.874301675977653,0.810624827965868
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061005501,10003,NEW YORK,NY,0.0201109570041608,0.0369318181818181,0.0689655172413793,0.0227686703096539
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061005502,10003,NEW YORK,NY,0.0719947159841479,0.0389830508474576,0.0571428571428571,0.0620090946672178
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061005700,10003,NEW YORK,NY,1.0,0.996363636363636,1.0,0.999637155297532
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061005900,10003,NEW YORK,NY,0.891750996626801,0.907834101382488,0.955801104972375,0.895873189396009
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061006100,10003,NEW YORK,NY,1.0,1.0,1.0,1.0
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061006300,10003,NEW YORK,NY,0.0,0.00596421471172962,0.0,0.000563697857948139
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061006400,10003,NEW YORK,NY,0.174174662546755,0.117302052785923,0.200573065902578,0.172686065214212
10003.0,10003.0,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97.0,36061006500,10003,NEW YORK,NY,0.0,0.00469483568075117,0.00373831775700934,0.000771307365985345
10004.0,10004.0,10004,10004.0,10004 Lower Manhattan (Manhattan),11.0,11.0,99.0,36061000100,10004,NEW YORK,NY,0.0,1.0,1.0,1.0
10004.0,10004.0,10004,10004.0,10004 Lower Manhattan (Manhattan),11.0,11.0,99.0,36061000700,10004,NEW YORK,NY,0.0,0.00274122807017543,0.00699300699300699,0.000782735100078273
10004.0,10004.0,10004,10004.0,10004 Lower Manhattan (Manhattan),11.0,11.0,99.0,36061000900,10004,NEW YORK,NY,0.762611275964391,0.838167938931297,0.952054794520547,0.819140083217753
10004.0,10004.0,10004,10004.0,10004 Lower Manhattan (Manhattan),11.0,11.0,99.0,36061001300,10004,NEW YORK,NY,0.281874229346485,0.20983086680761,0.149501661129568,0.253681177976952
10004.0,10004.0,10004,10004.0,10004 Lower Manhattan (Manhattan),11.0,11.0,99.0,36061031704,10004,NEW YORK,NY,0.0531236719082022,0.0298507462686567,0.0425531914893617,0.0526970954356846
10004.0,10004.0,10004,10004.0,10004 Lower Manhattan (Manhattan),11.0,11.0,99.0,36061031900,10004,NEW YORK,NY,0.0,1.0,1.0,1.0
10005.0,10005.0,10005,10005.0,10005 Lower Manhattan (Manhattan),18.0,19.0,100.0,36061000700,10005,NEW YORK,NY,0.949802429386799,0.898026315789473,0.951048951048951,0.939282120093928
10005.0,10005.0,10005,10005.0,10005 Lower Manhattan (Manhattan),18.0,19.0,100.0,36061000900,10005,NEW YORK,NY,0.237388724035608,0.132315521628498,0.0342465753424657,0.163661581137309
