ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,TRACT,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005008600,10473,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005008700,10459,0.921428571,0.96031746,0.90234375,0.921433744
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005008900,10459,1,1,1,1
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005009000,10473,0.934232715,0.485714286,0.55,0.877013177
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005009200,10462,1,1,1,1
10474,10474,10474,10474,10474 Hunts Point - Mott Haven (Bronx),1,1,24,36005009300,10474,1,0.994600432,0.991631799,0.997970426
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005009600,10462,0.742138365,0.49,0.746031746,0.69022869
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005009800,10473,1,1,1,1
10465,10465,10465,10465,,,0,12,36005011000,10465,1,1,0,1
10474,10474,10474,10474,10474 Hunts Point - Mott Haven (Bronx),1,1,24,36005011502,10474,1,0.963414634,0.991869919,0.994117647
10474,10474,10474,10474,10474 Hunts Point - Mott Haven (Bronx),1,1,24,36005011700,10474,1,1,1,1
10465,10465,10465,10465,,,0,12,36005011800,10465,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005011900,10459,0.973542601,0.990740741,0.993103448,0.976407915
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005012101,10459,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005012102,10459,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005012300,10459,0.954372624,0.892857143,0.962765957,0.952673923
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005012500,10459,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005012701,10459,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005012901,10459,1,1,1,1
10465,10465,10465,10465,,,0,12,36005013000,10465,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005013100,10459,0.963321447,0.987341772,0.953642384,0.962883959
10465,10465,10465,10465,,,0,12,36005013200,10465,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005013300,10456,0.793959454,0.45,0.620253165,0.780516432
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005013500,10456,0.888622754,0.695652174,0.716216216,0.872351983
10465,10465,10465,10465,,,0,12,36005013800,10465,1,1,1,1
10451,10451,10451,10451,,,0,18,36005014100,10451,0.945273632,0.970588235,0.890410959,0.943376442
10451,10451,10451,10451,,,0,18,36005014300,10451,0.670103093,0.318181818,0.354166667,0.626966292
10465,10465,10465,10465,,,0,12,36005014400,10465,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005014500,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005014701,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005014702,10456,0.946448087,1,0.947368421,0.947145877
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005014900,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005015100,10456,0.595837897,0.701923077,0.425531915,0.579113924
10465,10465,10465,10465,,,0,12,36005015200,10465,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005015300,10459,0.631448104,0.377358491,0.850746269,0.647879764
10460,10460,10460,10460,,,0,17,36005015500,10460,1,1,1,1
10460,10460,10460,10460,,,0,17,36005015700,10460,0.998006976,0.895833333,1,0.996062992
10465,10465,10465,10465,,,0,12,36005015800,10465,1,1,1,1
10459,10459,10459,10459,10459 Hunts Point - Mott Haven (Bronx),1,1,23,36005015900,10459,1,1,1,1
10465,10465,10465,10465,,,0,12,36005016000,10465,1,1,1,1
10460,10460,10460,10460,,,0,17,36005016100,10460,1,1,1,1
10465,10465,10465,10465,,,0,12,36005016200,10465,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005016300,10456,1,0,0.428571429,0.730769231
10465,10465,10465,10465,,,0,12,36005016400,10465,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005016500,10457,1,1,1,1
10465,10465,10465,10465,,,0,12,36005016600,10465,1,0.9875,1,0.998948475
