Unnamed: 0,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,FIPS,ZCTA,MODZCTA,ZCTA_str,zip_tai,Tai_idx,mods,mod_idx
68,36005008300,10455,BRONX,NY,1.0,1.0,1.0,1.0,36005,10455,10455,10455,10455.0,22,10455,22
69,36005008400,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
71,36005008500,10455,BRONX,NY,0.911981829,0.6796875,0.924050633,0.898387885,36005,10455,10455,10455,10455.0,22,10455,22
72,36005008600,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
73,36005008700,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
74,36005008900,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
76,36005009000,10473,BRONX,NY,0.932773109,0.466666667,0.555555556,0.868904876,36005,10473,10473,10473,10473.0,14,10473,14
77,36005009200,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
80,36005009300,10474,BRONX,NY,0.965688488,0.988623436,0.919614148,0.967400881,36005,10474,10474,10474,10474.0,24,10474,24
82,36005009600,10462,BRONX,NY,0.735,0.476190476,0.753521127,0.68528464,36005,10462,10462,10462,10462.0,10,10462,10
83,36005009800,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
84,36005011000,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
86,36005011502,10474,BRONX,NY,1.0,0.978813559,0.99375,0.996464349,36005,10474,10474,10474,10474.0,24,10474,24
87,36005011700,10474,BRONX,NY,1.0,1.0,1.0,1.0,36005,10474,10474,10474,10474.0,24,10474,24
88,36005011800,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
90,36005011900,10459,BRONX,NY,1.0,0.991596639,1.0,0.999614049,36005,10459,10459,10459,10459.0,23,10459,23
91,36005012101,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
92,36005012102,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
94,36005012300,10459,BRONX,NY,0.932439678,0.858823529,0.933673469,0.929636533,36005,10459,10459,10459,10459.0,23,10459,23
95,36005012500,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
96,36005012701,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
97,36005012901,10459,BRONX,NY,0.998258851,0.99375,1.0,0.998037291,36005,10459,10459,10459,10459.0,23,10459,23
99,36005013000,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
