MODZCTA,weighted_no_health_insurance,weighted_No_vehicle,weighted_Household_num,weighted_household_income_mean,weighted_Bachelor,weighted_Population,weighted_estimated_average_age_mean,weighted_Black,weighted_Hispanic,median_median_age
10001.0,431.6600504283895,9875.969214646637,11520.473167555363,116291.03706932587,6835.057744004177,22455.09097119898,39.81203925024462,1431.2209836358002,3079.0566765399017,36.05
10002.0,4253.097648148431,28755.71787507723,34574.259354865164,50851.34953319662,15471.975815701271,90743.92020731556,42.37697028282728,6355.196817025073,20078.960971754048,44.05
10003.0,1277.3628352519672,15281.651272564186,19797.897255738237,157738.59569349047,12438.149212944314,43484.719538584686,37.775735724193474,2407.7088254128653,3237.796669211238,33.95
10004.0,150.96152206184672,1368.7558513833617,1643.8069427698758,204424.95320561013,1307.5947146443652,3516.3077603994097,31.871416011626668,161.09392168130924,281.84158043538685,31.35
10005.0,116.908439418767,4415.876571195757,4823.498836483512,196328.03047576192,3941.8235985631286,9115.965512901057,31.861792303481934,154.92824800273104,545.2520428472767,29.65
10006.0,303.32429099876686,1481.858446362515,1759.9625154130697,193065.00000000003,1025.8495684340317,3337.9304562268794,32.53489326765189,237.2064118372379,187.4475955610357,31.3
10007.0,68.42884621215993,1311.703967423945,1663.9571411143272,241504.9685285323,1453.7001941237302,3995.4083839462737,33.89257215010783,223.58839370618182,330.53964228800436,32.3
10009.0,2203.021977708049,23587.291119888218,30089.548771974616,71053.49977257823,18456.30050865601,71681.26624789095,39.8834963539383,4720.968108038929,14608.78989621897,38.35
10010.0,1203.7481620081862,12708.15976687398,16386.56716259266,137190.26829601306,9943.453567696943,35016.962979788,37.85334715134777,2803.5504957719577,3968.3648144022754,35.275
10011.0,1548.0630014220694,21863.29729568166,27724.125404991544,133878.09015932618,16324.496492093846,53504.33769459599,42.9288761781548,2126.545257922058,7534.923071273348,42.5
10012.0,925.3529504766954,9577.290837449002,12194.148001189511,130388.16408194021,8482.957760570338,24868.75058354209,39.38469588454266,855.4632913898372,2114.700275309863,40.2
10013.0,809.5222128085168,7292.746392546363,10457.56305492363,176214.67840197167,8496.200028501038,25031.982003068017,39.16150505349779,725.9575857557842,2113.4233020012907,40.1
10014.0,860.1488193487323,14754.008284628257,18159.56575421102,148921.95704749244,12247.215703678332,32110.28343612765,42.74865222192279,556.0482007175211,2900.602859300983,40.7
10016.0,1432.9357847615283,19865.35504318387,23603.46924685395,149853.14673430714,15021.97155073442,46783.37542850645,36.86742730827386,2047.2573591519679,5355.495967873179,33.2
10017.0,639.1315719876933,7146.551457245402,8917.675848354478,138910.3180606141,5186.205804380982,15000.762053947892,43.27163389500211,387.57554748663557,777.263168544235,43.4
10018.0,283.6448499240122,3237.1638605513112,3626.7378692839666,138558.13505510864,2262.4833258743497,6826.9518892299475,41.846271629088214,399.45329414801654,758.4908960554984,34.5
10019.0,955.593229599272,15650.941788260869,19065.182833463525,137230.17341921543,10941.17995539856,33724.19420458212,42.925496926461165,1508.5401021139985,4588.095451691692,43.5
10021.0,305.6391096550745,8525.432157065101,12659.389821367247,158102.9692841952,6808.746532102746,26519.708290737857,44.54736132423793,322.34982168592205,1640.347231643879,46.6
10022.0,400.6149914748285,9592.971705808168,13778.75136700626,166415.685277002,7973.993724007608,25686.337838731328,48.33080077011521,348.12653351464655,2467.263344108224,41.05
10023.0,1464.3905841055177,16147.043338225862,22190.312928237654,151824.040100678,12323.686707863959,42852.76984529454,43.231233264220435,1127.4252688511938,3387.273775895777,44.3
10024.0,1482.0176819712055,21032.916282362025,29035.356352267172,156168.4531772159,16937.822850157074,67900.71857068925,41.00704880547035,1753.919064425041,7528.7082747474415,43.5
10025.0,3554.858762942254,31027.58337110496,41268.20247751456,106717.94438554629,20044.370208510565,111832.63945172519,40.10214666851414,11284.669913468431,21324.240503493264,40.5
10026.0,2192.8336460623814,10722.017932411394,14530.428878774437,66847.30510539253,7646.074634054714,43725.374572696215,37.40058658609601,18928.300645530184,7571.229532818945,35.45
10027.0,3661.662638035278,18483.921571338138,24011.790337226303,64690.22545937862,10607.933363828732,80865.6157573641,34.16224668728422,25964.24921325547,17494.435916504142,28.35
10028.0,838.7720977885958,12328.810236524898,16905.03142931751,160122.53385247968,9562.607539268076,33698.26852490537,42.90113226864836,356.8921239180125,2196.685885826998,43.2
10029.0,4682.535927949553,24651.056660209277,29811.480132895533,45343.46168351762,9386.20915638899,93483.30529490625,39.64087168746849,21902.25439919156,31100.384556307534,37.0
10030.0,2063.2877659680908,9875.952844022582,12861.450755151534,62846.317358384054,4666.2473601337315,37968.04431055504,37.319100682900135,17355.626582096058,8437.70774558455,36.95
10031.0,5261.771405880617,17034.373354128482,21099.363152583155,53605.46507301771,10231.557095629889,85599.06683727457,38.23396589150249,16730.422360797733,31042.453284660332,34.9
10032.0,6208.218366315135,18400.79754688253,22562.903541392792,56466.324865121205,10226.002607817276,97531.66355941222,39.95044377544926,11060.67365983479,40239.97952070164,35.15
10033.0,5606.321711898296,15121.931427778964,20030.00937821575,78016.86692445626,9805.384843797254,93071.68443925092,38.5388245232794,5146.743604476644,40077.921448402034,38.5
10034.0,2844.8175247521044,11215.919653622697,15776.693533617636,65849.6682476049,7287.09440041519,68776.66833284298,39.59370771251072,5551.116565209242,31153.834030320286,40.15
10035.0,2959.7114051799517,12186.740132904304,14653.850854693683,38699.23485160107,4568.734172232037,50128.18118554414,37.72738575785449,14364.296535203908,17089.754128833287,36.5
10036.0,390.9857183501709,6937.660727271031,7906.0831203795615,101750.87643266736,4631.560740331116,13490.078903926596,44.57865685976708,1342.5349734824808,2083.6641373837883,39.075
10037.0,1082.5872818673556,8217.897207636588,10290.429939642525,55103.028081381366,3751.929913892205,23552.647875888713,41.46125161455907,13909.55756309832,3646.0169717724243,37.0
10038.0,870.7070592122809,7991.149181637746,9719.957212300063,106534.05423179624,6039.9718245406875,23612.420912186797,42.26341109015065,2487.1946772557567,2258.0462147746935,46.974999999999994
10039.0,2043.7472679968544,8988.120142719526,11377.880557011926,49566.099237646704,2819.657013342696,33972.40232999563,36.90350794099878,15809.655627462234,8977.620424067589,36.25
10040.0,3021.247544545461,12218.877995876317,16294.668923637933,64657.923930820805,7351.415442220836,73047.5901056587,39.84241958776742,3094.1173743666172,31483.059794344947,39.6
10044.0,200.0,1488.0,1925.0,97703.0,1023.0,6236.0,44.013209476734275,920.0,944.0,53.1
10065.0,370.40845585985863,11843.295775886036,16180.123675588526,176051.15844558188,9839.282496842694,31712.185893956474,42.11624968499692,631.5675434601661,2706.485696287825,42.1
10069.0,23.44915126934053,320.7806819888837,465.64638726152896,144315.0,208.44719843773458,848.1548745681233,48.27986367191865,29.84437434279704,66.17665615141952,51.8
10075.0,369.49227115127553,6120.647898802473,8919.632946711854,164339.5409349116,4336.794104754078,17947.953245784658,43.35465500285005,283.73308071223494,797.0749012436703,49.4
10128.0,2153.7939587996166,15937.804414487251,22593.864562382663,149919.8371080456,13244.497168360358,50159.052658305394,42.33178548890437,2039.210120786063,6831.969551855858,40.4
10280.0,134.37314277477842,3715.3955656348735,5016.711336576116,212499.5538997003,3646.1350567982495,11127.477573118886,39.87349407156562,147.5993554018499,1069.9155760771184,41.95
10282.0,33.52809315866083,1388.5537117903925,2110.6343522561856,250001.0,1211.9179039301307,5272.905967976709,33.8531877867426,101.40203784570593,226.5190684133915,40.15
10301.0,2185.0705417443387,4002.0189299577123,12964.097169365414,80465.18243236464,4592.761846968323,39743.22676605062,37.61957449362942,7873.059649145893,9331.190461685226,38.3
10302.0,943.5055378844813,620.8287726967932,4049.841465387628,84624.5468878364,1767.244154736744,15453.676517492182,35.12340612757286,2002.9501249784353,4610.4320991296645,41.3
10303.0,1346.3211381080537,1526.9888871426574,7439.333719976161,76724.1774536995,2915.911711753971,29272.943290593743,36.016815754062996,7719.028675096811,9808.005904966129,35.475
10304.0,1387.1072318370498,2453.7552373784683,8830.032769682048,68147.55347866041,3291.2994435087453,29059.155671354867,37.680611804668295,5798.787622003603,5984.624975079015,41.45
10305.0,1566.8983478334205,2118.0124127027734,11830.415027754985,79988.59861867681,4510.671966582085,34428.42554936869,38.335814121072055,2368.4038789238384,5157.998396939118,41.25
10306.0,1842.1565436045494,2569.489050003451,17858.041811428877,98110.35375042664,7282.076400206795,52816.62484699081,40.06248693408111,1581.730876796326,7606.394196745902,42.65
