MODZCTA,mod_idx,week,Grocery&Pharmacies_visits_weekly,Retails_visits_weekly,Arts&Entertainment_visits_weekly,Restaurants&Bars_visits_weekly,Educations_visits_weekly,Healthcares_visits_weekly,others_visits_weekly,score_mean,score_median,score_std,gain_bias_mean,gain_bias_median,gain_bias_std,loss_bias_mean,loss_bias_median,loss_bias_std,loss_aversion_scores_mean,loss_aversion_scores_median,loss_aversion_scores_std,rescale_avail_mean,rescale_avail_median,rescale_avail_std,rescale_realistic_mean,rescale_realistic_median,rescale_realistic_std,agency_mean,agency_median,agency_std,regulated_tdscores_mean,regulated_tdscores_median,regulated_tdscores_std,regulated_agency_mean,regulated_agency_median,regulated_agency_std,regulated_loss_mean,regulated_loss_median,regulated_loss_std,modzcta_count,weighted_estimated_average_age,median_age,Black,Hispanic,Household_income,Bachelor,Household_num,Population,No_health_insurance,No_vehicles,No_health_insurance_rate,No_vehicles_rate,regulated_tdscores_mode,regulated_loss_mode,regulated_agency_mode,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT_final,COVID_PROBABLE_CASE_COUNT_final,COVID_CASE_COUNT_final,COVID_CONFIRMED_CASE_RATE_final,COVID_CASE_RATE_final,POP_DENOMINATOR,COVID_DEATH_COUNT_final,COVID_DEATH_RATE_final,borough,CASE_COUNT,DEATH_COUNT,borough_case_count,id,borough_death_count,CASE_COUNT_log,DEATH_COUNT_log,borough_case_count_log,borough_death_count_log,Date,StringencyIndex_WeightedAverage,longitude,latitude,Grocery&Pharmacies_visits_weekly_lag1,Retails_visits_weekly_lag1,Arts&Entertainment_visits_weekly_lag1,Restaurants&Bars_visits_weekly_lag1,Educations_visits_weekly_lag1,Healthcares_visits_weekly_lag1,others_visits_weekly_lag1
10001,84,0,174.6244431813891,544.4217122775908,751.9101729692068,1096.559825002187,85.08353688915483,161.51105924958682,315.61666092537246,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,20475.0,224.0,3486.0,100,36.0,9.92695990872127,5.4116460518550396,8.156510226079966,3.58351893845611,2020-03-22,67.99142857142857,985043.1051800177,212772.63190341386,,,,,,,
10001,84,1,123.45936210893268,315.078080484355,427.7568437732299,793.4813053938823,72.72217582305746,148.93909147517203,219.899869982884,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,30141.0,1516.0,3811.0,101,213.0,10.313641650130425,7.323830566202317,8.24564690087386,5.3612921657094255,2020-03-29,82.41,985043.1051800177,212772.63190341386,174.6244431813891,544.4217122775908,751.9101729692068,1096.559825002187,85.08353688915483,161.51105924958682,315.61666092537246
10001,84,2,147.86624675168528,486.9778718606004,1458.2170166880094,1348.0396589811407,68.63326102982853,128.5943448743571,391.0180005670804,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,36099.0,4271.0,4055.0,102,527.0,10.494020443106272,8.359603270841466,8.307705966549513,6.267200548541362,2020-04-05,82.41,985043.1051800177,212772.63190341386,123.45936210893268,315.078080484355,427.7568437732299,793.4813053938823,72.72217582305746,148.93909147517203,219.899869982884
10001,84,3,131.70621308852327,382.67084028406936,629.9343092455783,764.3075626295416,57.62841017933543,99.8760166140837,235.51304422916297,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,34170.0,5422.0,3481.0,103,672.0,10.439103345109338,8.598220030058611,8.15507488781144,6.51025834052315,2020-04-12,82.41,985043.1051800177,212772.63190341386,147.86624675168528,486.9778718606004,1458.2170166880094,1348.0396589811407,68.63326102982853,128.5943448743571,391.0180005670804
10001,84,4,93.16980668600728,306.87910374975513,593.0979575988168,751.3777133642187,65.77503914721456,98.79681065378026,267.73397649726786,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,22962.0,4056.0,2310.0,104,504.0,10.041595954653758,8.30795254527102,7.745002803515839,6.222576268071369,2020-04-19,82.41,985043.1051800177,212772.63190341386,131.70621308852327,382.67084028406936,629.9343092455783,764.3075626295416,57.62841017933543,99.8760166140837,235.51304422916297
10001,84,5,122.44520006278049,280.8138615356508,516.0525172408509,748.9173902155932,52.99244802202508,170.35791077546466,286.35894925187415,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,18273.0,2710.0,2185.0,105,383.0,9.813179839504594,7.904703913873747,7.68937110752969,5.948034989180646,2020-04-26,82.41,985043.1051800177,212772.63190341386,93.16980668600728,306.87910374975513,593.0979575988168,751.3777133642187,65.77503914721456,98.79681065378026,267.73397649726786
10001,84,6,140.97934296585962,479.6659357431,782.7328947284009,1283.221019552101,83.00522458703131,171.1367267647847,468.31369002747965,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,13107.0,1806.0,1608.0,106,245.0,9.480901717619545,7.498869733976931,7.382746449738912,5.501258210544727,2020-05-03,82.41,985043.1051800177,212772.63190341386,122.44520006278049,280.8138615356508,516.0525172408509,748.9173902155932,52.99244802202508,170.35791077546466,286.35894925187415
10001,84,7,108.9723774894024,492.7620933961441,791.0400695259301,864.0308334815882,63.42420244875326,158.17477470785124,301.27715065674124,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,7889.0,1084.0,1009.0,107,152.0,8.97322466309509,6.988413181999592,6.9167150203536085,5.0238805208462765,2020-05-10,82.41,985043.1051800177,212772.63190341386,140.97934296585962,479.6659357431,782.7328947284009,1283.221019552101,83.00522458703131,171.1367267647847,468.31369002747965
10001,84,8,120.90198548398229,379.97187124281334,706.905051688819,992.2991752097478,73.21708206039578,148.4585923678017,287.47117725280674,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,6678.0,693.0,896.0,108,106.0,8.8065738205036,6.541029999189903,6.79794041297493,4.663439094112067,2020-05-17,80.82000000000001,985043.1051800177,212772.63190341386,108.9723774894024,492.7620933961441,791.0400695259301,864.0308334815882,63.42420244875326,158.17477470785124,301.27715065674124
10001,84,9,114.58863516998528,463.6241611723575,606.089775557168,1036.3585568214094,116.97636419459651,210.95667492758383,289.5577808166751,9.363636363636363,9.5,3.016548872398241,1.9545454545454544,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.32034632034632,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0,39.1988986130683,39.5,2117,4973,101409.0,9303,14273,26966,800,12298,0.0296669880590373,0.8616268478946262,60.60606060606061,56.56565656565657,63.2936507936508,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9463,2379,11842,34269.98,42885.46,27613.09,68,246.26,MN,6001.0,463.0,871.0,109,59.0,8.699681400989514,6.137727054086234,6.769641976852503,4.07753744390572,2020-05-24,78.7,985043.1051800177,212772.63190341386,120.90198548398229,379.97187124281334,706.905051688819,992.2991752097478,73.21708206039578,148.4585923678017,287.47117725280674
