ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,RESTAURANT_COUNT,GROCERY_COUNT,EDUCATION_COUNT,ENTERTAINMENT_COUNT,HEALTHCARE_COUNT,RETAIL_COUNT,OTHER_COUNT,GROCERY_VISIT_PERCENT,HOUSEHOLD_SIZE,HOUSEHOLD_INCOME,BLACK,HISPANIC,AGE65_PLUS,BACHELOR_S,COVID_CASE_COUNT,COVID_CASE_RATE,COVID_DEATH_COUNT,COVID_DEATH_RATE,NO_HEALTH_INSURANCE
11237,0,Brooklyn,45298,27425868.17,NY,Kings,36,47,400,81,33,30,106,228,944,0.038,2.61,57375,5807,28086,3799,8725,1319,2747.88,114,237.5,0.077947184
11385,0,Ridgewood,104855,124786310.9,NY,Queens,36,81,453,104,53,83,278,431,2133,0.061,2.95,77044,2853,49040,11446,14474,2843,2743.81,145,139.94,0.092678576
10038,0,New York,23028,7022760.643,NY,New York,36,61,389,24,44,68,382,235,912,0.074,2.13,95640,2516,2631,3987,6594,391,1710.07,28,122.46,0.051363389
11206,0,Brooklyn,86849,40700720.97,NY,Kings,36,47,391,81,63,69,136,315,1124,0.057,2.76,43065,19698,32979,8505,11489,2183,2517.59,158,182.22,0.086065695
10006,0,New York,3260,1716640.92,NY,New York,36,61,93,8,11,22,141,52,316,0.023,1.8,185268,156,287,17,1109,55,1626.35,0,0,0.033412373
11412,0,Saint Albans,37909,45842752.23,NY,Queens,36,81,90,26,24,12,56,36,380,0.058,3.37,85235,32799,2437,5525,4165,1417,3719.4,90,236.24,0.119989744
10005,0,New York,8651,2082901.141,NY,New York,36,61,159,8,25,54,97,131,829,0.045,1.86,184681,174,529,92,3451,125,1427.39,2,22.84,0.034903758
11251,0,Brooklyn,,10245952.25,NY,Kings,36,47,11,2,0,3,3,39,61,,,,,,,,,,,,
10004,0,New York,3305,4002521.097,NY,New York,36,61,14,0,0,1,0,0,1,0.047,1.81,204949,160,193,278,1324,59,1985.12,1,33.65,0.03595818
11411,0,Cambria Heights,20454,35889597.38,NY,Queens,36,81,32,13,18,7,31,21,146,0.06,3.31,104269,18631,1328,4064,2990,782,3657.95,50,233.88,0.069519156
11201,0,Brooklyn,60692,41094886.77,NY,Kings,36,47,724,70,105,200,667,690,1680,0.057,2.07,139697,7977,7354,7766,18134,976,1566.76,97,155.71,0.090645395
10004,0,New York,3305,1202707.707,NY,New York,36,61,0,0,0,1,0,0,1,0.047,1.81,204949,160,193,278,1324,59,1985.12,1,33.65,0.03595818
11205,0,Brooklyn,45351,23270147.95,NY,Kings,36,47,252,50,41,37,52,194,630,0.073,2.7,62952,13669,7871,3788,8173,994,2192.69,51,112.5,0.081402334
11208,0,Brooklyn,101881,79303684.26,NY,Kings,36,47,188,100,42,31,103,189,780,0.057,2.96,45946,54146,40931,10989,7297,3105,3249.09,253,264.74,0.087147524
11207,0,Brooklyn,88390,73966260.54,NY,Kings,36,47,232,104,57,37,130,233,1076,0.079,2.6,42276,57897,29584,12036,7844,2660,2987.7,219,245.98,0.058429151
10004,0,New York,3305,7679615.511,NY,New York,36,61,2,0,0,1,0,0,1,0.047,1.81,204949,160,193,278,1324,59,1985.12,1,33.65,0.03595818
10004,0,New York,3305,670708.02,NY,New York,36,61,0,0,0,1,0,0,1,0.047,1.81,204949,160,193,278,1324,59,1985.12,1,33.65,0.03595818
11413,0,Springfield Gardens,41477,86208498.59,NY,Queens,36,81,77,24,27,21,38,57,347,0.082,3.27,91836,37697,2582,6818,4697,1517,3511.01,104,240.7,0.083409734
11217,0,Brooklyn,41701,21648157.8,NY,Kings,36,47,451,54,44,124,195,319,949,0.136,2.24,122598,8288,6629,4618,12063,782,1913.35,87,212.87,0.038572757
11238,0,Brooklyn,53906,29429423.46,NY,Kings,36,47,370,53,37,76,150,166,903,0.05,2.12,100568,16299,5693,6810,15850,1045,1951.5,104,194.22,0.077163013
11231,0,Brooklyn,37708,39379691.79,NY,Kings,36,47,287,0,0,0,0,0,0,0.044,2.38,108525,5572,6074,3493,8878,548,1466.16,35,93.64,0.066250251
11422,0,Rosedale,32720,60120657.21,NY,Queens,36,81,59,14,10,10,48,35,228,0.071,3.29,93397,27518,2887,4769,4437,1133,3498.09,67,206.86,0.118313582
11420,0,South Ozone Park,47163,61879568.37,NY,Queens,36,81,101,31,19,22,49,62,328,0.044,3.62,85190,11976,11485,5925,4527,1661,3472.35,108,225.78,0.115643018
11417,0,Ozone Park,31132,31099087.11,NY,Queens,36,81,114,16,21,29,44,86,375,0.063,3.5,79210,2575,11574,4136,3921,1053,3392.25,49,157.85,0.080460065
11215,0,Brooklyn,69524,61922821.75,NY,Kings,36,47,572,89,77,151,448,405,1585,0.05,2.42,144330,2848,11032,7685,18713,854,1226.58,47,67.51,0.087189701
11231,0,Brooklyn,37708,701979.3853,NY,Kings,36,47,0,0,0,0,0,0,0,0.044,2.38,108525,5572,6074,3493,8878,548,1466.16,35,93.64,0.066250251
11232,0,Brooklyn,24492,55879065.15,NY,Kings,36,47,221,52,28,36,47,309,756,0.064,2.74,74072,2001,13702,2057,3733,729,2691.45,44,162.45,0.079000377
11430,0,Jamaica,0,199913664.3,NY,Queens,36,81,10,2,0,0,0,2,8,,NA,NA,146,66,20,15,,,,,
11203,0,Brooklyn,75729,60644835.46,NY,Kings,36,47,216,85,71,30,195,215,956,0.009,2.59,57707,67107,5304,13933,9923,2471,3370.42,247,336.91,0.053454134
11239,0,Brooklyn,12723,41794660.77,NY,Kings,36,47,34,5,8,12,27,37,52,0.088,1.88,29571,7632,2387,3974,1107,631,4845.53,92,706.48,0.166898885
11236,0,Brooklyn,97227,96373991.62,NY,Kings,36,47,202,61,47,34,211,173,790,0.061,2.86,74015,84752,7474,14593,13117,3278,3375.3,306,315.08,0.058854714
11220,0,Brooklyn,90410,47453785.79,NY,Kings,36,47,601,141,58,48,346,379,1152,0.064,3.25,55119,2877,36498,11525,9147,2272,2401.93,169,178.66,0.078993569
