ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,RESTAURANT_COUNT,GROCERY_COUNT,EDUCATION_COUNT,ENTERTAINMENT_COUNT,HEALTHCARE_COUNT,RETAIL_COUNT,OTHER_COUNT,GROCERY_VISIT_PERCENT,HOUSEHOLD_SIZE,HOUSEHOLD_INCOME,BLACK,HISPANIC,AGE65_PLUS,BACHELOR_S,COVID_CASE_COUNT,COVID_CASE_RATE,COVID_DEATH_COUNT,COVID_DEATH_RATE,NO_HEALTH_INSURANCE
10151,1,New York,,21380.26838,NY,New York,36,61,0,0,0,0,0,8,10,,,,,,,,,,,,
10173,1,New York,0,25689.42059,NY,New York,36,61,3,0,1,0,4,6,17,,NA,NA,0,0,0,0,,,,,
10178,1,New York,,51303.03763,NY,New York,36,61,0,0,0,0,0,0,0,,,,,,,,,,,,
10121,1,New York,,115104.7993,NY,New York,36,61,4,0,0,0,0,2,13,,,,,,,,,,,,
10123,1,New York,,16138.53697,NY,New York,36,61,0,0,0,0,0,1,1,,,,,,,,,,,,
10106,1,New York,,31052.55279,NY,New York,36,61,3,0,0,0,0,0,0,,,,,,,,,,,,
10158,1,New York,,35395.77014,NY,New York,36,61,0,0,0,0,0,0,0,,,,,,,,,,,,
10041,1,New York,,162236.6469,NY,New York,36,61,1,0,0,0,0,1,0,,,,,,,,,,,,
10120,1,New York,,35179.27222,NY,New York,36,61,0,0,0,0,0,2,3,,,,,,,,,,,,
10278,1,New York,0,206705.9952,NY,New York,36,61,0,0,0,3,2,0,12,,NA,NA,0,0,0,0,,,,,
10155,1,New York,,24784.68854,NY,New York,36,61,0,0,0,0,1,2,0,,,,,,,,,,,,
10043,1,New York,,38262.36481,NY,New York,36,61,1,0,0,0,0,1,10,,,,,,,,,,,,
10081,1,New York,,30240.50545,NY,New York,36,61,0,0,0,0,0,1,9,,,,,,,,,,,,
10096,1,New York,,42106.11469,NY,New York,36,61,5,0,2,1,5,3,21,,,,,,,,,,,,
10097,1,New York,,65826.17798,NY,New York,36,61,4,1,2,4,0,11,24,,,,,,,,,,,,
10196,1,New York,,32502.44033,NY,New York,36,61,2,0,0,1,0,6,6,,,,,,,,,,,,
10196,1,New York,,3154.824973,NY,New York,36,61,2,0,0,1,0,6,6,,,,,,,,,,,,
10275,1,New York,,48280.415,NY,New York,36,61,0,0,0,0,0,1,0,,,,,,,,,,,,
10265,1,New York,,17229.15496,NY,New York,36,61,2,0,0,1,2,3,11,,,,,,,,,,,,
10045,1,New York,,47808.98541,NY,New York,36,61,0,0,0,0,0,0,0,,,,,,,,,,,,
10047,1,New York,,10149.77968,NY,New York,36,61,0,0,0,0,0,0,12,,,,,,,,,,,,
10047,1,New York,,10149.77968,NY,New York,36,61,0,0,0,0,0,0,12,,,,,,,,,,,,
10080,1,New York,,77111.44771,NY,New York,36,61,9,0,0,0,1,11,7,,,,,,,,,,,,
10203,1,New York,,37226.88358,NY,New York,36,61,0,0,0,0,0,0,3,,,,,,,,,,,,
10259,1,New York,,21064.31295,NY,New York,36,61,2,0,1,3,3,4,42,,,,,,,,,,,,
10260,1,New York,,52514.73508,NY,New York,36,61,2,0,0,0,0,1,2,,,,,,,,,,,,
10285,1,New York,,67350.38896,NY,New York,36,61,0,0,0,0,0,1,1,,,,,,,,,,,,
10286,1,New York,,11264.41238,NY,New York,36,61,1,0,3,3,0,5,49,,,,,,,,,,,,
10035,0,New York,33546,23494871.46,NY,New York,36,61,4,0,2,10,3,3,4,0.123,2.28,28408,14458,16800,4987,4605,1231,3493.19,137,388.76,0.091943741
11371,0,Flushing,0,30558474.91,NY,Queens,36,81,12,0,1,1,0,4,5,,NA,NA,0,0,0,0,,,,,
11361,0,Bayside,28112,50163518.24,NY,Queens,36,81,210,19,42,46,228,110,654,0.073,2.64,86545,1358,3442,5953,5337,577,2188.04,58,219.94,0.104928169
10036,0,New York,27609,11395110.51,NY,New York,36,61,846,33,87,181,325,1630,2242,0.052,1.58,97720,1928,4991,3810,9317,623,2286.9,40,146.83,0.059344503
11414,0,Howard Beach,27646,63928824.72,NY,Queens,36,81,70,9,11,23,138,54,241,0.071,2.5,75599,1162,5953,6740,3210,988,3483.98,63,222.16,0.060106264
10310,0,Staten Island,23951,53463275,NY,Richmond,36,85,117,16,25,38,146,104,411,0.044,2.76,86895,5557,7450,3380,2818,900,3839.34,36,153.57,0.065838368
11693,0,Far Rockaway,12757,3497515.78,NY,Kings,36,47,0,0,0,0,0,0,0,0.039,2.45,52946,2813,3713,2105,1554,397,3132.86,29,228.85,0.049892959
11249,0,Brooklyn,,17772206.17,NY,Kings,36,47,26,0,0,6,2,15,36,,,,,,,,,,,,
10162,1,New York,1240,21034.88692,NY,New York,36,61,0,0,0,0,7,0,0,,1.99,96555,0,295,430,311,,,,,
10119,1,New York,0,126392.9735,NY,New York,36,61,24,0,7,1,3,19,94,,NA,NA,0,0,0,0,,,,,
