nyc_zip
10463
10471
10466
10469
10475
10458
10467
10468
10470
10461
10462
10464
10465
10472
10473
10453
10457
10460
10451
10452
10456
10454
10455
10459
10474
11211
11222
11201
11205
11215
11217
11231
11212
11213
11216
11233
11238
11207
11208
11220
11232
11204
11218
11219
11230
11203
11210
11225
11226
11234
11236
11239
11209
11214
11228
11425
11223
11224
11229
11235
11206
11221
11237
10031
10032
10033
10034
10039
10040
10026
10027
10030
10037
10115
10029
10035
10023
10024
10025
10069
10021
10028
10044
10065
10075
10128
10162
10001
10011
10018
10019
10020
10036
10103
10110
10111
10112
10119
10199
10010
10016
10017
10022
10152
10153
10154
10165
10167
10168
10169
10170
10171
10172
10173
10174
10177
10012
10013
10014
10002
10003
10009
10004
10005
10006
10007
10038
10271
10278
10279
10280
10282
11101
11102
11103
11104
11105
11106
11109
11369
11370
11372
11373
11377
11378
11351
11354
11355
11356
11357
11358
11359
11360
11368
11361
11362
11363
11364
11374
11375
11379
11385
11365
11366
11367
11414
11415
11416
11417
11418
11419
11420
11421
11424
11412
11423
11432
11433
11434
11435
11436
11451
11004
11005
11411
11413
11422
11426
11427
11428
11429
11691
11692
11694
11697
10302
10303
10310
10301
10304
10305
10311
10314
10306
10307
10308
10309
10312
