"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.90795976518075,0.999593826001899,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.51992760550326,0.967375494630751,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.70015132135079,0.994133301663515,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,3.00716011485982,0.999918307484208,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.17157601820468,0.725399363738784,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.84433479026802,0.998992521088251,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.86047208579246,0.999193256942422,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.619844573126,0.986611226308887,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.44232308662187,0.940700321852119,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.82527053310719,0.998699082293661,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.83589553416249,0.998870793074834,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.74559138948898,0.996491801282008,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.22363354600538,0.782805092331899,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.79157152857827,0.997991704453769,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.85347433183044,0.999111063562549,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.71855180384807,0.99521554354092,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.58534028807474,0.981490973674179,"Durbin-Watson test","true autocorrelation is greater than 0"
