2017 NAICS US Code,cluster_qing,name,,naics_code,cluster,,,,
3253,6,Others,,,,,,,
3254,6,Others,,,,,,,
3255,6,Others,,,,,,,
3256,6,Others,,,,,,,
3259,6,Others,,,,,,,
3261,6,Others,,,,,,,
3262,6,Others,,,,,,,
3271,6,Others,,,,,,,
3272,6,Others,,,,,,,
3273,6,Others,,,,,,,
3274,6,Others,,,,,,,
3279,6,Others,,,,,,,
3311,6,Others,,,,,,,
3312,6,Others,,,,,,,
3313,6,Others,,,,,,,
3314,6,Others,,,,,,,
3315,6,Others,,,,,,,
3321,6,Others,,,,,,,
3322,6,Others,,,,,,,
3323,6,Others,,,,,,,
3324,6,Others,,,,,,,
3325,6,Others,,,,,,,
3326,6,Others,,,,,,,
3327,6,Others,,,,,,,
3328,6,Others,,,,,,,
3329,6,Others,,,,,,,
3331,6,Others,,,,,,,
3332,6,Others,,,,,,,
3333,6,Others,,,,,,,
3334,6,Others,,,,,,,
3335,6,Others,,,,,,,
3336,6,Others,,,,,,,
3339,6,Others,,,,,,,
3341,6,Others,,,,,,,
3342,6,Others,,,,,,,
3343,6,Others,,,,,,,
3344,6,Others,,,,,,,
3345,6,Others,,,,,,,
3346,6,Others,,,,,,,
3351,6,Others,,,,,,,
3352,6,Others,,,,,,,
3353,6,Others,,,,,,,
3359,6,Others,,,,,,,
3361,6,Others,,,,,,,
3362,6,Others,,,,,,,
3363,6,Others,,,,,,,
3364,6,Others,,,,,,,
3365,6,Others,,,,,,,
3366,6,Others,,,,,,,
3369,6,Others,,,,,,,
3371,6,Others,,,,,,,
3372,6,Others,,,,,,,
3379,6,Others,,,,,,,
3391,6,Others,,,,,,,
3399,6,Others,,,,,,,
4231,6,Others,,,,,,,
4232,6,Others,,,,,,,
4233,6,Others,,,,,,,
4234,6,Others,,,,,,,
4235,6,Others,,,,,,,
4236,6,Others,,,,,,,
4237,6,Others,,,,,,,
4238,6,Others,,,,,,,
4239,6,Others,,,,,,,
4241,6,Others,,,,,,,
4242,6,Others,,,,,,,
4243,6,Others,,,,,,,
4244,6,Others,,,,,,,
4245,6,Others,,,,,,,
4246,6,Others,,,,,,,
4247,6,Others,,,,,,,
4248,6,Others,,,,,,,
4249,6,Others,,,,,,,
4251,6,Others,,,,,,,
4811,6,Others,,,,,,,
4812,6,Others,,,,,,,
4821,6,Others,,,,,,,
4831,6,Others,,,,,,,
4832,6,Others,,,,,,,
4841,6,Others,,,,,,,
4842,6,Others,,,,,,,
4851,6,Others,,,,,,,
4852,6,Others,,,,,,,
4853,6,Others,,,,,,,
4854,6,Others,,,,,,,
4855,6,Others,,,,,,,
4859,6,Others,,,,,,,
4861,6,Others,,,,,,,
4862,6,Others,,,,,,,
4869,6,Others,,,,,,,
4871,6,Others,,,,,,,
4872,6,Others,,,,,,,
4879,6,Others,,,,,,,
4881,6,Others,,,,,,,
4882,6,Others,,,,,,,
4883,6,Others,,,,,,,
4884,6,Others,,,,,,,
4885,6,Others,,,,,,,
4889,6,Others,,,,,,,
4911,6,Others,,,,,,,
4921,6,Others,,,,,,,
4922,6,Others,,,,,,,
4931,6,Others,,,,,,,
5111,6,Others,,,,,,,
5112,6,Others,,,,,,,
5121,6,Others,,,,,,,
5122,6,Others,,,,,,,
5151,6,Others,,,,,,,
5152,6,Others,,,,,,,
5173,6,Others,,,,,,,
5174,6,Others,,,,,,,
5179,6,Others,,,,,,,
5182,6,Others,,,,,,,
5191,6,Others,,,,,,,
5211,6,Others,,,,,,,
5221,6,Others,,,,,,,
5222,6,Others,,,,,,,
5223,6,Others,,,,,,,
5231,6,Others,,,,,,,
5232,6,Others,,,,,,,
5239,6,Others,,,,,,,
5241,6,Others,,,,,,,
5242,6,Others,,,,,,,
5251,6,Others,,,,,,,
5259,6,Others,,,,,,,
5311,6,Others,,,,,,,
5312,6,Others,,,,,,,
5313,6,Others,,,,,,,
5321,6,Others,,,,,,,
5322,6,Others,,,,,,,
5323,6,Others,,,,,,,
5324,6,Others,,,,,,,
5331,6,Others,,,,,,,
5411,6,Others,,,,,,,
5412,6,Others,,,,,,,
5413,6,Others,,,,,,,
5414,6,Others,,,,,,,
5415,6,Others,,,,,,,
5416,6,Others,,,,,,,
5417,6,Others,,,,,,,
5418,6,Others,,,,,,,
5419,6,Others,,,,,,,
5511,6,Others,,,,,,,
5611,6,Others,,,,,,,
5612,6,Others,,,,,,,
5613,6,Others,,,,,,,
5614,6,Others,,,,,,,
5615,6,Others,,,,,,,
5616,6,Others,,,,,,,
5617,6,Others,,,,,,,
5619,6,Others,,,,,,,
5621,6,Others,,,,,,,
5622,6,Others,,,,,,,
5629,6,Others,,,,,,,
7211,6,Others,,,,,,,
7212,6,Others,,,,,,,
7213,6,Others,,,,,,,
8111,6,Others,,,,,,,
8112,6,Others,,,,,,,
8113,6,Others,,,,,,,
8114,6,Others,,,,,,,
8121,6,Others,,,,,,,
8122,6,Others,,,,,,,
8123,6,Others,,,,,,,
8129,6,Others,,,,,,,
8131,6,Others,,,,,,,
8132,6,Others,,,,,,,
8133,6,Others,,,,,,,
8134,6,Others,,,,,,,
8139,6,Others,,,,,,,
8141,6,Others,,,,,,,
9211,6,Others,,,,,,,
9221,6,Others,,,,,,,
9231,6,Others,,,,,,,
9241,6,Others,,,,,,,
9251,6,Others,,,,,,,
9261,6,Others,,,,,,,
9271,6,Others,,,,,,,
9281,6,Others,,,,,,,
111,6,Others,,,,,,,
112,6,Others,,,,,,,
113,6,Others,,,,,,,
114,6,Others,,,,,,,
115,6,Others,,,,,,,
211,6,Others,,,,,,,
212,6,Others,,,,,,,
213,6,Others,,,,,,,
221,6,Others,,,,,,,
236,6,Others,,,,,,,
237,6,Others,,,,,,,
238,6,Others,,,,,,,
311,6,Others,,,,,,,
312,6,Others,,,,,,,
