"Value","Count","zip_code"
"10470 Fordham - Bronx Pk (Bronx)",1,"10470"
"10474 Hunts Point - Mott Haven (Bronx)",1,"10474"
"11102 Long Island City - Astoria (Queens)",1,"11102"
"11104 Long Island City - Astoria (Queens)",1,"11104"
"11106 Long Island City - Astoria (Queens)",1,"11106"
"11109 Long Island City - Astoria (Queens)",1,"11109"
"11201 Downtown - Heights - Slope (Brooklyn)",1,"11201"
"11215 Downtown - Heights - Slope (Brooklyn)",1,"11215"
"11222 Greenpoint (Brooklyn)",1,"11222"
"11224 Coney Island - Sheepshead Bay (Brooklyn)",1,"11224"
"11230 Borough Park (Brooklyn)",1,"11230"
"11232 Sunset Park (Brooklyn)",1,"11232"
"11237 Williamsburg - Bushwick (Brooklyn)",1,"11237"
"11351 Flushing - Clearview (Queens)",1,"11351"
"11367 Fresh Meadows (Queens)",1,"11367"
"11377 West Queens (Queens)",1,"11377"
"11385 Ridgewood - Forest Hills (Queens)",1,"11385"
"11417 Southwest Queens (Queens)",1,"11417"
"11422 Southeast Queens (Queens)",1,"11422"
"11423 Jamaica (Queens)",1,"11423"
"11427 Southeast Queens (Queens)",1,"11427"
"11428 Southeast Queens (Queens)",1,"11428"
"11434 Jamaica (Queens)",1,"11434"
"11436 Jamaica (Queens)",1,"11436"
"11691 Rockaways (Queens)",1,"11691"
