ZCTA,MODZCTA,ZCTA_str,zip_code,zcta,source,Value,Count
10312,10312,10312,10312.0,10312.0,geonames,10312 South Beach - Tottenville (Staten Island),2.0
10314,10314,10314,10314.0,10314.0,geonames,10314 Willowbrook (Staten Island),1.0
10451,10451,10451,10451.0,10451.0,geonames,,
10452,10452,10452,10452.0,10452.0,geonames,10452 High Bridge - Morrisania (Bronx),4.0
10453,10453,10453,10453.0,10453.0,geonames,10453 Crotona -Tremont (Bronx),73.0
10454,10454,10454,10454.0,10454.0,geonames,10454 Hunts Point - Mott Haven (Bronx),1.0
10455,10455,10455,10455.0,10455.0,geonames,10455 Hunts Point - Mott Haven (Bronx),3.0
10456,10456,10456,10456.0,10456.0,geonames,10456 High Bridge - Morrisania (Bronx),3.0
10457,10457,10457,10457.0,10457.0,geonames,10457 Crotona -Tremont (Bronx),3.0
10458,10458,10458,10458.0,10458.0,geonames,10458 Fordham - Bronx Pk (Bronx),2.0
10459,10459,10459,10459.0,10459.0,geonames,10459 Hunts Point - Mott Haven (Bronx),1.0
10460,10460,10460,10460.0,10460.0,geonames,,
10461,10461,10461,10461.0,10461.0,geonames,10461 Pelham - Throgs Neck (Bronx),1.0
10462,10462,10462,10462.0,10462.0,geonames,10462 Pelham - Throgs Neck (Bronx),2.0
10463,10463,10463,10463.0,10463.0,geonames,10463 Kingsbridge - Riverdale (Bronx),2.0
10464,10464,10464,10464.0,10464.0,geonames,10464 Pelham - Throgs Neck (Bronx),1.0
10465,10465,10465,10465.0,10465.0,geonames,,
10466,10466,10466,10466.0,10466.0,geonames,10466 Northeast Bronx (Bronx),2.0
10467,10467,10467,10467.0,10467.0,geonames,10467 Fordham - Bronx Pk (Bronx),5.0
10468,10468,10468,10468.0,10468.0,geonames,10468 Fordham - Bronx Pk (Bronx),2.0
10469,10469,10469,10469.0,10469.0,geonames,10469 Northeast Bronx (Bronx),2.0
10470,10470,10470,10470.0,10470.0,geonames,10470 Fordham - Bronx Pk (Bronx),1.0
10471,10471,10471,10471.0,10471.0,geonames,,
